x =      12077.92379, cost(x) =     -2.35958e+55
x =         -0.98599, cost(x) =     -2.92767e+03
x =       6665.77229, cost(x) =      9.46351e+36
x =       8019.56240, cost(x) =      1.27963e+57
x =      10394.55395, cost(x) =     -8.87574e+06
x =      -7217.83056, cost(x) =     -2.74646e+48
x =       7272.67187, cost(x) =      7.25756e+60
x =        602.18060, cost(x) =     -2.90336e+08
x =        -69.97192, cost(x) =     -1.79259e+34
x =        547.28962, cost(x) =      1.36277e+27
x =      11995.63095, cost(x) =     -7.76436e+30
x =       1267.90606, cost(x) =     -1.60499e+08
x =      10388.16812, cost(x) =     -1.04808e+55
x =      -3563.02683, cost(x) =     -4.00280e+20
x =       7009.71321, cost(x) =     -3.46340e+02
x =      11234.66163, cost(x) =     -5.62251e+06
x =       3337.07595, cost(x) =     -1.09200e+13
x =          4.89578, cost(x) =     -1.86982e+06
x =       9958.92285, cost(x) =      2.94307e+30
x =       1102.43060, cost(x) =     -4.74623e+60
x =       1396.95127, cost(x) =      1.73692e+18
x =       4768.31131, cost(x) =      1.61896e+71
x =       2638.17495, cost(x) =      2.29550e+64
x =       5726.81838, cost(x) =     -8.24545e+32
x =      11982.68367, cost(x) =     -1.83686e+72
x =      11966.32581, cost(x) =     -1.35188e+31
x =       5921.43548, cost(x) =     -9.95291e+17
x =      10146.85605, cost(x) =     -9.04673e+50
x =         -0.45836, cost(x) =     -1.12592e+03
x =      11911.94243, cost(x) =     -8.51378e+54
x =       7573.09901, cost(x) =      2.34773e+22
x =      -2977.71189, cost(x) =     -3.36964e+58
x =       5019.62365, cost(x) =      3.01569e+69
x =      11970.21032, cost(x) =     -6.42803e+47
x =       1410.47265, cost(x) =     -5.55987e+24
x =        473.65849, cost(x) =      5.79919e+23
x =          1.31048, cost(x) =     -1.10338e+04
x =      -5029.99493, cost(x) =     -3.33672e+58
x =       4367.29080, cost(x) =     -1.87936e+17
x =       2549.24212, cost(x) =      2.23547e+57
x =          0.95517, cost(x) =     -1.15417e+03
x =       2768.51729, cost(x) =      1.04914e+51
x =       1048.78170, cost(x) =      6.50259e+35
x =       9618.41005, cost(x) =     -3.48276e+38
x =       7069.92830, cost(x) =     -2.46153e+52
x =       4654.00654, cost(x) =     -4.95063e+20
x =         -0.58998, cost(x) =      3.30218e+02
x =          0.88094, cost(x) =     -2.16353e+02
x =          2.34293, cost(x) =     -7.87358e+04
x =      12025.63681, cost(x) =     -9.86664e+55
x =       5400.13278, cost(x) =     -9.50327e+13
x =      -6958.30443, cost(x) =     -2.06400e+68
x =       4977.33177, cost(x) =     -4.06849e+43
x =      -5227.58105, cost(x) =     -4.70626e+61
x =      11914.17486, cost(x) =     -1.98491e+80
x =      10372.19876, cost(x) =     -1.45943e+06
x =      -9449.83718, cost(x) =     -3.97584e+18
x =          1.13680, cost(x) =     -1.02163e+03
x =      11972.81185, cost(x) =     -3.83636e+39
x =       2867.79389, cost(x) =     -1.81998e+44
x =         -4.95228, cost(x) =     -3.92777e+07
x =       6207.00085, cost(x) =     -1.31221e+48
x =       9756.46940, cost(x) =     -7.33018e+34
x =       9008.61680, cost(x) =     -1.35278e+70
x =          1.73738, cost(x) =     -1.96236e+05
x =         74.01753, cost(x) =     -4.39376e+02
x =          3.17239, cost(x) =     -7.34026e+08
x =       3690.45275, cost(x) =     -9.92613e+37
x =       4312.00519, cost(x) =      2.04177e+17
x =       -930.41474, cost(x) =     -4.02697e+23
x =      10207.28156, cost(x) =     -1.41868e+66
x =      11055.80833, cost(x) =     -4.73611e+67
x =        150.04054, cost(x) =      4.52166e+02
x =       9118.05130, cost(x) =      2.50556e+61
x =       8946.32973, cost(x) =      1.66808e+73
x =      -3373.58794, cost(x) =     -7.61531e+23
x =       2469.77863, cost(x) =     -2.08316e+40
x =      12004.30081, cost(x) =     -2.36933e+31
x =      11974.75442, cost(x) =     -9.97359e+63
x =          1.43627, cost(x) =     -2.39718e+03
x =       2847.95157, cost(x) =     -6.93114e+33
x =       1630.55357, cost(x) =      2.38976e+09
x =          3.52628, cost(x) =     -1.41394e+05
x =       3851.61630, cost(x) =      7.75078e+58
x =       8737.70864, cost(x) =      5.81455e+14
x =       9342.57077, cost(x) =      7.21337e+14
x =      12065.51758, cost(x) =     -2.05109e+31
x =        204.41127, cost(x) =      4.01878e+27
x =       7698.89825, cost(x) =     -1.46756e+61
x =          1.17934, cost(x) =     -9.98777e+02
x =      11963.73841, cost(x) =     -8.05432e+63
x =      -7508.03838, cost(x) =     -2.66790e+45
x =      10147.64072, cost(x) =     -8.13779e+05
x =       1218.29208, cost(x) =      1.33984e+61
x =          0.19963, cost(x) =      4.23824e+02
x =      -4550.16374, cost(x) =     -2.32275e+13
x =       5287.29716, cost(x) =      6.99659e+58
x =       5351.89250, cost(x) =      3.74116e+21
x =       5871.76406, cost(x) =     -1.42964e+63
x =       8771.59562, cost(x) =      7.22488e+06
x =      -6281.27283, cost(x) =     -3.26593e+06
x =       8749.31358, cost(x) =     -3.15327e+22
x =       9633.59581, cost(x) =      3.25483e+30
x =      -6603.29663, cost(x) =     -2.95224e+52
x =       6493.04438, cost(x) =     -1.96343e+14
x =      11924.07058, cost(x) =     -3.57262e+43
x =      11951.11498, cost(x) =     -6.20086e+47
x =      11944.74388, cost(x) =     -1.13863e+76
x =          0.16568, cost(x) =     -8.38678e+02
x =       3110.16976, cost(x) =     -2.78573e+02
x =      11928.45418, cost(x) =     -4.01267e+10
x =        -44.10638, cost(x) =     -5.11890e+19
x =         -0.52803, cost(x) =     -1.25658e+03
x =       6549.45822, cost(x) =      8.48380e+63
x =         -1.07171, cost(x) =     -1.68034e+02
x =       2450.02484, cost(x) =      2.76663e+33
x =       9672.25698, cost(x) =      3.60336e+66
x =       1226.00960, cost(x) =      1.07782e+46
x =      11933.88768, cost(x) =     -3.05103e+31
x =      -5703.70959, cost(x) =     -1.97685e+06
x =       9889.41649, cost(x) =      3.39895e+21
x =       1761.82907, cost(x) =      8.01980e+11
x =          0.97949, cost(x) =     -5.09716e+01
x =      12147.24742, cost(x) =     -2.01819e+46
x =      11982.11758, cost(x) =     -3.39318e+43
x =       1936.08217, cost(x) =     -3.68063e+09
x =       5862.64949, cost(x) =      2.84180e+10
x =       1320.72521, cost(x) =      4.80754e+49
